689,INTERIOR,88579
690,CENTRO,13030
691,CENTRO,50350
692,JARDIM QUISISANA,50350
693,CRUZEIRO,47716
695,RIO DAS PEDRAS,60011
696,CENTRO,23590
697,BAIRRO CAMBARAÍ,91073
698,DISTRITO PIMENTA,37192
701,BAIRRO DOS PEREIROS,22110
702,PARAÍSO,4308
703,CENTRO,5673
706,JARDIM IBIRAPUERA,71072
712,CENTRO,67750
713,BIELA,33677
714,MATA QUIRI,13692
715,CENTRO,94331
716,CENTRO,34592
623,UNIAO,2259
655,TIÚMA,25739
717,MAIOBAO - ZONA URBANA,8494
718,POVOADO SANTA ZITA - ZONA RURAL,8150
719,VILA PICADA,98876
723,POV LAGOA DO ROCADO,31836
724,PINHEIROS,71072
726,VILA OPERARIA,76910
727,ZONA 07,76910
728,CENTRO,46957
729,CENTRO,24279
731,JARDIM SALETE,71579
732,CENTRO,91154
733,ZONA RURAL,10294
735,CENTRO,132
736,DISTRITO SANTA ROSA,558
737,JARDIM RESIDENCIAL SANTINA PAROLI PECCININI,66397
738,CARVALHO - ZONA RURAL,51136
740,VILA BONANÇA,58335
742,CENTRO,61522
743,VÁRZEA DE BAIXO,53759
744,DISTRITO BATINGA,36218
745,JARDIM BOA ESPERANCA,71072
746,CENTRO,43010
747,PARQUE ROSITA,80241
748,VILA DALILA,71072
750,PARQUE VITÓRIA,71072
751,CENTRO,80403
753,CENTRO,82716
754,TRÊS COQUEIROS,83232
755,ZONA RURAL,89915
756,CAMPOS ELÍSEOS,42510
757,LINHA SÃO JOSÉ,82791
758,VILA NILO,71072
759,VILA CONSTÂNÇA,71072
760,VILA ARICANDUVA,71072
761,VILA ALICE,64750
762,CENTRO,65595
763,CENTRO,62359
765,JARDIM MARINGA,71072
767,CENTRO,57070
768,CENTRO,61077
769,CENTRO,76775
770,ALVORADA III,68756
771,ALTO,68756
772,CENTRO,64092
774,JARDIM INDEPENDÊNCIA,90670
775,COLÔNIA VITÓRIA - SEDE,75833
778,CENTRO,78190
779,COHAB NOVA IPE,91677
780,CENTRO,58122
781,PARQUE MARIA HELENA,71510
783,BARRA DO ARIRIÚ,82333
784,CENTRO,81183
785,LIMOEIRO,61778
786,COHAB,63134
789,VILA SAO JOSE,68438
790,SETOR MARACANÃ,92410
791,ZONA RURAL,7951
792,ZONA RURAL,8109
794,BALNEARIO MEU RECANTO,62006
795,ZONA RURAL,12459
797,SAO JOAO,71358
798,JARDIM SANTA CLARA,68438
801,JARDIM CAMPANÁRIO,90131
802,VILA RICA,86517
803,BOQUEIRAO,87858
804,CENTRO,22357
805,CENTRO,36153
806,LAGES,24317
807,BARREIRAS DE BAIXO,15938
808,CIDADE OPERARIA-ZONA URBANA,9210
810,POVOADO TABOCA MATÃO - ZONA RURAL,7056
811,ZONA RURAL,2550
812,CENTRO,67318
816,JUA,14230
817,SETOR CENTRAL,94510
818,JARDIM SILVA TELES,71072
819,DIC III (CONJUNTO HABITACIONAL RUY NOVAES),62910
820,PARQUE IPIRANGA,62910
821,CENTRO,98817
822,CENTRO,66095
823,PARQUE RIACHUELO,41238
825,TUPANCY,88951
826,RIBEIRÃO TUCANO,82759
828,CENTRO,20451
833,SETOR SAO JOAO,95753
836,MURUCI,5150
838,ZONA RURAL,10774
840,DISTRITO DE JUAZEIRINHO,34673
841,JARDIM BELA VISTA,54453
842,ITAIM PAULISTA,71072
843,SÍTIO MORRO GRANDE,71072
844,JARDIM ADUTORA,71072
845,PARQUE RESIDENCIAL AQUARIUS,70998
846,ZONA RURAL,5410
847,SETOR BUENO,93734
848,CENTRO,90743
849,JARDIM AMÉRICA,93734
851,JARDIM LUZ,92274
852,CENTRO,14796
853,ROSEANA SARNEY - ZONA URBANA,8079
854,CENTRO,94714
855,CENTRO,39810
857,VILA TELMA,48658
858,CIDADE NOVA,48658
829,SAO JOSE,19
749,JARDIM CUMBICA,64777
859,CONJUNTO HABITACIONAL SAO JOSE DO RIO PRETO,70971
860,CENTRO,50776
863,CHACARA MIGUEL BADRA,71510
864,CENTRO,38199
865,ZONA RURAL,4014
866,NOSSA SENHORA DE FÁTIMA,93734
868,DISTRITO DE LAMOUNIER,46698
869,CENTRO,65552
870,CENTRO,28770
871,CENTRO,27430
872,JOAO FRANCISCO,93777
873,CENTRO,5754
874,FLÁVIO GARCIA,90654
875,JARDIM SINUELO,74390
876,ZONA RURAL,2054
877,ZONA RURAL,4251
878,ZONA RURAL,49972
879,CENTRO,40177
880,JARDIM VISTA ALEGRE,91413
881,JARDIM ATLÂNTICO CENTRAL,58530
882,CENTRO,3158
883,JACARÉ - ZONA URBANA,7714
884,VILA VERDE,56812
885,CENTRO,17833
886,PARQUE AGUA VERMELHA,64270
887,CENTRO,39411
891,CENTRO,68497
893,CENTRO,79570
894,LINHA SÃO JOÃO DO PESQUEIRO,81485
895,ZONA RURAL,16896
896,CENTRO,13951
898,PRAIA DO BARCO,89150
899,PRAIA ARCO IRIS,89150
900,SÃO TOMÉ,5231
903,VILA NOVA CURUÇÁ,71072
905,CENTRO,21032
906,POVOADO AREIA,33294
907,JARDIM SANTA MONICA,71072
908,ZONA RURAL,89788
909,VILA RÉ,71072
910,VILA JONES,61310
911,CENTRO,13188
912,CIDADE INTERCAP,71579
913,ZONA RURAL,16020
914,JD S MARTINHO,71072
915,PARQUE PAULISTANO,71072
916,JARDIM CAMPO BELO,62910
917,PARQUE SANTA RITA,71072
918,ALTO DA MARAVILHA,39012
919,JARDIM MERCEDES,62910
920,JARDIM AEROPORTO,62910
922,JD. SAO LUIZ,64513
923,CENTRO,61590
925,VILA CÍSPER,71072
926,DISTRITO DE CRUZEIRO DO NORTE,79413
928,CENTRO,71714
929,POVOADO DE FLORES,37354
930,POVOADO VILA DE IPUÇABA,37656
931,CENTRO,94994
932,ESQUINA SÃO BENTO,87777
934,ESTIVA DO GERALDO,20737
935,ZONA RURAL,5150
936,POVOADO MAXIMIANO ZONA RURAL,8710
937,CENTRO,38415
938,DISTRITO DE POÇO DE FORA,34975
939,CENTRO,49450
940,CENTRO,23698
944,POVOADO QUIXABA,39039
945,CENTRO,15830
946,CENTRO,19445
948,SETOR OESTE,95958
950,JURÉIA,48593
952,VILA CAPRI,58033
953,CENTRO,58599
955,ÁGUA VERMELHA,91677
956,CALIFORNIA,10472
962,ZONA RURAL,90590
965,ZONA RURAL,98370
968,COROADINHO ZONA URBANA,9210
969,VILA BANCARIA,66354
970,CONJUNTO RESIDENCIAL GALO BRANCO,70998
971,POVOADO COQUEIRO - ZONA RURAL,7331
972,ZONA RURAL,4332
975,CENTRO,47716
979,DISTRITO IBIRAJA,36218
980,JARDIM NOVO CAMBUI,62910
983,CENTRO,78670
